Acronym,Class I Area,(NH4)2SO4 (µg/m³),NH4NO3 (µg/m³),OM (µg/m³),EC (µg/m³),Soil (µg/m³),CM (µg/m³),Sea Salt (µg/m³),Rayleigh (Mm-1),Type
pimo,Pine Mountain Wilderness,0.12,0.1,0.6,0.02,0.5,3,0.02,10,Annual
pinn,Pinnacles NM,0.12,0.1,0.6,0.02,0.35,3,0.19,11,Annual
pore,Point Reyes NS,0.12,0.1,0.6,0.02,0.24,3,2.11,12,Annual
prra,Presidential Range-Dry River Wilderness,0.23,0.1,1.7,0.02,0.25,2.65,0.03,11,Annual
rawa,Rawah Wilderness,0.12,0.1,0.6,0.02,0.45,2.69,0,8,Annual
redr,Red Rock Lakes Wilderness,0.12,0.1,0.6,0.02,0.41,1.92,0.01,9,Annual
redw,Redwood NP,0.12,0.1,0.6,0.02,0.16,3,0.96,11,Annual
romo,Rocky Mountain NP,0.12,0.1,0.6,0.02,0.5,2.9,0,9,Annual
roos,Roosevelt Campobello International Park,0.23,0.1,1.79,0.02,0.23,2.56,0.11,12,Annual
sagu,Saguaro NP,0.12,0.1,0.6,0.02,0.5,3,0.06,10,Annual
stma,Saint Marks Wilderness,0.23,0.1,1.8,0.02,0.5,3,0.1,11,Annual
sacr,Salt Creek Wilderness,0.12,0.1,0.6,0.02,0.5,3,0.04,10,Annual
saga,San Gabriel Wilderness,0.12,0.1,0.6,0.02,0.5,3,0.04,9,Annual
sago,San Gorgonio Wilderness,0.12,0.1,0.6,0.02,0.5,3,0.05,10,Annual
saja,San Jacinto Wilderness,0.12,0.1,0.6,0.02,0.5,3,0.05,10,Annual
sape,San Pedro Parks Wilderness,0.12,0.1,0.6,0.02,0.5,2.19,0.01,8,Annual
sara,San Rafael Wilderness,0.11,0.1,0.6,0.02,0.5,3,0.11,10,Annual
sawt,Sawtooth Wilderness,0.12,0.08,0.6,0.02,0.41,1.64,0.01,10,Annual
scap,Scapegoat Wilderness,0.12,0.1,0.6,0.02,0.44,2.34,0.01,10,Annual
selw,Selway-Bitterroot Wilderness,0.12,0.1,0.6,0.02,0.39,1.79,0.02,10,Annual
sene,Seney Wilderness,0.23,0.1,1.74,0.02,0.26,1.95,0.02,12,Annual
sequ,Sequoia NP,0.11,0.1,0.6,0.02,0.5,3,0.04,11,Annual
shen,Shenandoah NP,0.23,0.1,1.8,0.02,0.41,2.88,0.02,10,Annual
shro,Shining Rock Wilderness,0.23,0.1,1.76,0.02,0.5,1.76,0.02,10,Annual
sian,Sierra Ancha Wilderness,0.12,0.1,0.6,0.02,0.5,3,0.02,10,Annual
sime,Simeonof Wilderness,0.12,0.1,0.46,0.02,0.13,3,1.26,12,Annual
sips,Sipsey Wilderness,0.23,0.1,1.8,0.02,0.5,3,0.04,11,Annual
sowa,South Warner Wilderness,0.12,0.1,0.6,0.02,0.44,2.36,0.01,10,Annual
stmo,Strawberry Mountain Wilderness,0.12,0.1,0.6,0.02,0.5,2.99,0.04,10,Annual
supe,Superstition Wilderness,0.11,0.1,0.59,0.02,0.5,3,0.02,10,Annual
swan,Swanquarter Wilderness,0.23,0.1,1.63,0.02,0.41,3,0.14,12,Annual
syca,Sycamore Canyon Wilderness,0.12,0.1,0.6,0.02,0.5,3,0.03,9,Annual
teto,Teton Wilderness,0.12,0.1,0.6,0.02,0.41,1.92,0.01,9,Annual
thro,Theodore Roosevelt NP,0.12,0.1,0.6,0.02,0.5,3,0.01,11,Annual
thla,Thousand Lakes Wilderness,0.12,0.1,0.6,0.02,0.44,1.82,0.01,10,Annual
thsi,Three Sisters Wilderness,0.12,0.1,0.6,0.02,0.26,1.98,0.05,11,Annual
tuxe,Tuxedni Wilderness,0.12,0.09,0.6,0.02,0.1,2.06,0.38,12,Annual
ulbe,UL Bend Wilderness,0.12,0.1,0.6,0.02,0.45,3,0,11,Annual
upbu,Upper Buffalo Wilderness,0.23,0.1,1.8,0.02,0.5,3,0.03,11,Annual
vent,Ventana Wilderness,0.12,0.1,0.6,0.02,0.35,3,0.19,11,Annual
viis,Virgin Islands NP,0.23,0.1,0.35,0.02,0.5,3,0.84,11,Annual
voya,Voyageurs NP,0.23,0.1,1.75,0.02,0.26,2.73,0.04,12,Annual
wash,Washakie Wilderness,0.12,0.1,0.6,0.02,0.43,2.84,0.01,9,Annual
wemi,Weminuche Wilderness,0.12,0.1,0.6,0.02,0.49,2.59,0.01,9,Annual
weel,West Elk Wilderness,0.12,0.1,0.6,0.02,0.48,2.12,0,8,Annual
whpe,Wheeler Peak Wilderness,0.12,0.1,0.6,0.02,0.5,2.29,0.03,8,Annual
whmo,White Mountain Wilderness,0.12,0.1,0.6,0.02,0.5,3,0.03,9,Annual
wich,Wichita Mountains Wilderness,0.12,0.1,0.6,0.02,0.5,3,0.03,11,Annual
wica,Wind Cave NP,0.12,0.1,0.6,0.02,0.49,2.98,0.01,10,Annual
wolf,Wolf Island Wilderness,0.23,0.1,1.8,0.02,0.5,3,0.08,11,Annual
yell,Yellowstone NP,0.12,0.1,0.6,0.02,0.41,1.92,0.01,9,Annual
yobo,Yolla Bolly-Middle Eel Wilderness,0.12,0.1,0.52,0.02,0.42,2.08,0.04,10,Annual
yose,Yosemite NP,0.12,0.1,0.6,0.02,0.44,3,0.02,10,Annual
zion,Zion NP,0.12,0.1,0.6,0.02,0.5,3,0.01,10,Annual
